"lat" "lng" "group" "note"
45.7287034480259 14.1087252930185 "primorsko" "ktdyka"
45.7871214132811 14.3142508007153 "primorsko" "udqlop"
45.5654263525009 14.1916492936 "primorsko" "hjqufj"
45.8396956843234 14.469517207517 "primorsko" "wcjklo"
45.7961247960579 14.048888801445 "primorsko" "oxzwjb"
45.5575328104823 14.0134985927222 "primorsko" "clbzmc"
45.6623417112283 14.3003726769829 "primorsko" "tsvoob"
45.7943137880622 13.833531634706 "primorsko" "rdgdol"
45.5218052025053 14.2360211098661 "primorsko" "unnbyk"
45.6687646057185 14.0929191816143 "primorsko" "mvaeaw"
45.8928871264519 14.4265284377474 "primorsko" "vlyymw"
45.6833897017167 14.3144015397199 "primorsko" "byzwnp"
45.697028635084 14.2808129987534 "primorsko" "fpvtfh"
45.7780315962855 14.1497283797887 "primorsko" "hqzber"
45.5751726649685 14.2872979503855 "primorsko" "yxhlvq"
45.6521290435446 14.4823113081497 "primorsko" "aoxoye"
45.5728755434625 14.103172548589 "primorsko" "skfiit"
45.6863436802677 14.2583758414301 "primorsko" "ehgidz"
45.6883993410867 14.1193919456009 "primorsko" "cegitg"
45.671888582032 14.2636899696749 "primorsko" "pqykxe"
45.8037777670326 14.5112970843946 "primorsko" "dzxoet"
45.7571128179132 14.1495243645662 "primorsko" "qluekw"
45.7808445794053 14.4393850011538 "primorsko" "uvgthw"
45.9122331090544 14.4175415095018 "primorsko" "zptluk"
45.5679713616577 14.0099858952211 "primorsko" "inqiig"
45.8728147445842 14.5013496728739 "primorsko" "kebhnf"
45.8010117758188 14.1155056101807 "primorsko" "dbahja"
45.625060165255 14.3162515933998 "primorsko" "biqode"
45.9440400094838 14.0489771653952 "primorsko" "yollpp"
45.7182302273257 14.4294947145505 "primorsko" "dokkzg"
45.6376165825837 13.8951135519182 "primorsko" "qfbjvc"
45.6929069753018 14.5411106573317 "primorsko" "toihwt"
45.8400021680841 13.820228469107 "primorsko" "ywtwui"
45.8368200620744 14.4178703609633 "primorsko" "zjgicd"
45.8489252193375 14.1968244804514 "primorsko" "izpghl"
45.7869146300084 14.3009627204956 "primorsko" "hpjftc"
45.8418513549909 14.3616579294648 "primorsko" "ogyhhl"
45.6869619857625 14.0066448157986 "primorsko" "msagtw"
45.9381123804682 14.5164681024265 "primorsko" "tnlvxt"
45.6197276162898 14.0759905992245 "primorsko" "ucjkco"
45.69233189789 13.9217670756832 "primorsko" "wwswnl"
45.7104940197537 14.1159767917695 "primorsko" "rjesxw"
45.7991405340945 14.3103130400178 "primorsko" "llfbxs"
45.8267027888179 14.3666198225914 "primorsko" "uopbye"
45.6880969363694 13.9415380872609 "primorsko" "ondloy"
45.4684188742913 14.4716584652806 "primorsko" "fpaozd"
45.7473065490128 13.7039129673701 "primorsko" "rabfzo"
45.5303708880024 14.0098265258087 "primorsko" "utpxfb"
45.5538043111289 14.3438345283481 "primorsko" "byrijv"
45.7319116791792 14.0910438151189 "primorsko" "teurak"
45.6454141583465 14.5268354065798 "primorsko" "kgvpcs"
45.7041977304983 14.5433760991474 "primorsko" "tuwdnv"
45.5809414147016 14.4459062922206 "primorsko" "fkpwja"
45.8025336077572 14.0572213616279 "primorsko" "zfbyay"
45.5795827634637 14.4200463871803 "primorsko" "rzijlw"
45.7688461874618 14.1561638502189 "primorsko" "sokfpp"
45.5544596828863 14.2182425310792 "primorsko" "kthfhg"
45.4707493363241 14.0317798835931 "primorsko" "ncjeki"
45.7353557559083 14.3507557895921 "primorsko" "qpgdov"
45.7742269677715 14.0659133066475 "primorsko" "nfjtvh"
45.7725614600229 14.3543421582054 "primorsko" "ksndhr"
45.6548120203083 14.1330060101061 "primorsko" "ebcjef"
45.8246867308625 14.1003933598727 "primorsko" "dqvszj"
45.914562488141 14.3145420396112 "primorsko" "jhiiox"
45.7434098597157 14.0567732481101 "primorsko" "xzwgtz"
